	SC182	GRO-09_nasal_brush	D353_Brus_Nas1	SC173	D363_Brus_Nas1	SC184	SC174_SC173	SC174_SC172	GRO-04_nasal_brush	SC183	SC181	SC185
CEP76	181.0	185.0	142.0	88.0	137.0	96.0	47.0	41.0	115.0	146.0	65.0	39.0
ST8SIA5	105.0	85.0	34.0	12.0	39.0	66.0	3.0	3.0	82.0	9.0	2.0	12.0
CEP192	719.0	486.0	528.0	225.0	286.0	397.0	105.0	144.0	220.0	438.0	182.0	76.0
RNMT	2833.0	4021.0	2222.0	1297.0	1459.0	1418.0	660.0	682.0	2611.0	1356.0	774.0	280.0
SMAD7	78.0	44.0	169.0	91.0	89.0	90.0	39.0	28.0	30.0	32.0	52.0	16.0
LIPG	0.0	11.0	105.0	0.0	34.0	6.0	3.0	0.0	6.0	15.0	25.0	0.0
LAMA1	3.0	7.0	27.0	1.0	4.0	11.0	2.0	3.0	9.0	25.0	5.0	2.0
RNF125	175.0	83.0	86.0	99.0	84.0	54.0	52.0	61.0	142.0	67.0	72.0	17.0
ANKRD12	4597.0	9780.0	5046.0	2759.0	3510.0	2247.0	1160.0	1528.0	4534.0	1849.0	1206.0	898.0
NOL4	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POLI	389.0	414.0	196.0	174.0	88.0	329.0	75.0	65.0	360.0	148.0	86.0	65.0
MIB1	1137.0	1662.0	1640.0	580.0	1004.0	783.0	222.0	274.0	719.0	584.0	239.0	173.0
RBBP8	1317.0	2635.0	1079.0	717.0	745.0	754.0	378.0	353.0	806.0	1160.0	482.0	319.0
RIOK3	6931.0	5797.0	3580.0	3340.0	2077.0	3345.0	1740.0	1602.0	3081.0	4671.0	3019.0	1743.0
CSTF2	1169.0	958.0	907.0	568.0	623.0	793.0	295.0	411.0	767.0	1103.0	461.0	165.0
H2BFM	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MXRA5	501.0	179.0	162.0	265.0	212.0	396.0	125.0	156.0	102.0	510.0	97.0	58.0
VSIG1	19.0	37.0	17.0	6.0	36.0	40.0	0.0	8.0	16.0	15.0	24.0	4.0
PSMD10	1285.0	1642.0	1238.0	598.0	654.0	1069.0	312.0	312.0	1149.0	813.0	483.0	238.0
ATG4A	392.0	900.0	477.0	204.0	325.0	261.0	90.0	113.0	538.0	247.0	166.0	61.0
STS	523.0	989.0	909.0	202.0	813.0	274.0	70.0	98.0	258.0	179.0	63.0	79.0
TBL1X	742.0	1306.0	795.0	378.0	506.0	445.0	159.0	237.0	434.0	380.0	177.0	98.0
GPR143	130.0	194.0	110.0	75.0	62.0	112.0	41.0	32.0	93.0	61.0	38.0	10.0
PGRMC1	3311.0	3089.0	2970.0	1458.0	1706.0	1313.0	713.0	976.0	2579.0	1472.0	930.0	299.0
POLA1	289.0	196.0	55.0	79.0	69.0	113.0	40.0	46.0	81.0	182.0	93.0	27.0
MID1	947.0	751.0	785.0	253.0	381.0	546.0	96.0	92.0	604.0	480.0	224.0	88.0
NKAP	1026.0	2840.0	1312.0	805.0	804.0	720.0	330.0	330.0	1872.0	462.0	253.0	161.0
RHOXF1	3.0	8.0	26.0	1.0	3.0	7.0	0.0	1.0	15.0	1.0	0.0	0.0
NXT2	313.0	450.0	642.0	197.0	441.0	231.0	65.0	88.0	193.0	312.0	143.0	94.0
GUCY2F	6.0	17.0	4.0	1.0	1.0	3.0	0.0	0.0	6.0	3.0	0.0	1.0
ATP1B4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALG13	1213.0	930.0	1231.0	586.0	934.0	795.0	307.0	387.0	646.0	820.0	470.0	131.0
PRPS2	1650.0	1256.0	1803.0	814.0	890.0	1184.0	414.0	515.0	899.0	2151.0	703.0	282.0
TLR8	2.0	1.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	16.0	0.0
MOSPD1	464.0	921.0	615.0	333.0	341.0	358.0	178.0	164.0	624.0	307.0	156.0	107.0
AMMECR1	427.0	978.0	843.0	302.0	508.0	306.0	133.0	150.0	300.0	291.0	172.0	58.0
CHRDL1	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
WDR13	1273.0	2135.0	1965.0	830.0	1138.0	1086.0	414.0	456.0	2373.0	624.0	379.0	158.0
SUV39H1	114.0	68.0	122.0	85.0	71.0	58.0	27.0	32.0	84.0	91.0	39.0	18.0
PAGE4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRPX	37.0	28.0	126.0	51.0	65.0	40.0	19.0	17.0	14.0	44.0	16.0	7.0
GLRA2	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
XIAP	2073.0	4083.0	3947.0	1194.0	2304.0	1320.0	573.0	617.0	1406.0	1127.0	586.0	329.0
STAG2	1967.0	2794.0	2465.0	909.0	1207.0	1440.0	389.0	542.0	1560.0	1504.0	659.0	353.0
ATP11C	334.0	766.0	267.0	147.0	229.0	64.0	51.0	68.0	251.0	274.0	108.0	55.0
MCF2	0.0	4.0	8.0	1.0	3.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0
ABCD1	178.0	146.0	185.0	117.0	65.0	70.0	53.0	49.0	87.0	69.0	61.0	33.0
CCDC22	426.0	335.0	233.0	211.0	185.0	222.0	112.0	114.0	283.0	240.0	167.0	33.0
CACNA1F	27.0	25.0	12.0	2.0	12.0	57.0	3.0	3.0	31.0	3.0	5.0	2.0
SYP	24.0	90.0	146.0	20.0	70.0	13.0	10.0	22.0	56.0	24.0	7.0	3.0
PLP2	1709.0	2643.0	1562.0	1032.0	735.0	1133.0	533.0	635.0	2127.0	4845.0	1890.0	224.0
BMX	12.0	32.0	14.0	7.0	6.0	3.0	3.0	2.0	19.0	3.0	1.0	0.0
PLS3	1989.0	1152.0	1178.0	583.0	879.0	973.0	291.0	395.0	489.0	1992.0	808.0	428.0
NAA10	436.0	2713.0	2241.0	331.0	1386.0	427.0	145.0	149.0	2137.0	257.0	151.0	75.0
RENBP	15.0	69.0	68.0	17.0	24.0	17.0	9.0	9.0	70.0	13.0	53.0	2.0
ELF4	352.0	77.0	173.0	94.0	79.0	124.0	47.0	41.0	72.0	206.0	168.0	47.0
SMARCA1	570.0	702.0	397.0	165.0	161.0	519.0	99.0	96.0	373.0	444.0	67.0	71.0
MTMR8	66.0	18.0	2.0	18.0	4.0	21.0	8.0	9.0	12.0	31.0	16.0	10.0
ASB9	12.0	29.0	4.0	5.0	8.0	24.0	2.0	4.0	74.0	22.0	5.0	5.0
ZC3H12B	4.0	1.0	1.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	3.0	0.0
RBBP7	2766.0	3459.0	2138.0	1355.0	1521.0	1679.0	723.0	824.0	2354.0	1607.0	829.0	353.0
KCND1	8.0	7.0	12.0	3.0	2.0	5.0	0.0	0.0	0.0	1.0	0.0	1.0
OPN1LW	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC25A14	281.0	424.0	327.0	147.0	210.0	180.0	81.0	69.0	510.0	149.0	60.0	22.0
FMR1	2261.0	1852.0	1431.0	748.0	902.0	985.0	303.0	295.0	731.0	955.0	572.0	280.0
PIM2	97.0	639.0	121.0	34.0	60.0	84.0	16.0	29.0	552.0	41.0	82.0	5.0
SCML2	1.0	4.0	4.0	0.0	0.0	3.0	2.0	0.0	3.0	4.0	9.0	0.0
SLC35A2	735.0	1346.0	983.0	356.0	480.0	560.0	182.0	237.0	1570.0	319.0	252.0	96.0
PQBP1	1621.0	2069.0	1086.0	969.0	834.0	1202.0	488.0	615.0	1667.0	1374.0	597.0	310.0
RS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
PCSK1N	726.0	697.0	174.0	164.0	75.0	565.0	87.0	68.0	825.0	53.0	11.0	96.0
EMD	2801.0	1617.0	1519.0	2012.0	977.0	1581.0	1056.0	1108.0	1081.0	1821.0	1167.0	384.0
TAZ	414.0	402.0	496.0	277.0	192.0	235.0	129.0	165.0	314.0	208.0	131.0	40.0
RAB40AL	53.0	76.0	124.0	34.0	85.0	27.0	11.0	12.0	83.0	12.0	6.0	10.0
PGK1	7662.0	7968.0	4890.0	3606.0	3170.0	4159.0	2067.0	2535.0	5871.0	6001.0	3584.0	760.0
GATA1	12.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	15.0	0.0
MAGT1	1492.0	1702.0	2069.0	525.0	1238.0	711.0	222.0	326.0	660.0	924.0	503.0	198.0
SMS	2973.0	5611.0	2887.0	2244.0	1846.0	2128.0	1099.0	1378.0	2988.0	2483.0	1308.0	745.0
PHEX	177.0	352.0	203.0	75.0	109.0	135.0	32.0	25.0	314.0	54.0	46.0	21.0
UBL4A	435.0	542.0	782.0	459.0	540.0	329.0	238.0	240.0	417.0	399.0	176.0	91.0
CD99L2	152.0	159.0	248.0	102.0	69.0	128.0	50.0	88.0	155.0	95.0	56.0	30.0
EEA1	2308.0	4502.0	1343.0	1608.0	967.0	1497.0	758.0	1017.0	1653.0	1640.0	968.0	420.0
RP2	323.0	164.0	442.0	92.0	176.0	178.0	45.0	64.0	153.0	237.0	228.0	48.0
JADE3	170.0	77.0	167.0	52.0	87.0	78.0	20.0	21.0	78.0	65.0	28.0	23.0
CDK16	1849.0	1357.0	1782.0	1123.0	1487.0	906.0	483.0	598.0	874.0	1552.0	726.0	317.0
USP11	1765.0	1337.0	760.0	627.0	608.0	1023.0	317.0	356.0	1129.0	941.0	489.0	229.0
PCYT1B	75.0	115.0	62.0	13.0	14.0	73.0	3.0	0.0	183.0	12.0	7.0	6.0
BRS3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTATSF1	4421.0	4968.0	2190.0	1733.0	1236.0	2333.0	851.0	1018.0	2068.0	2248.0	1213.0	507.0
VGLL1	836.0	684.0	414.0	390.0	278.0	532.0	178.0	334.0	468.0	251.0	230.0	134.0
CD40LG	7.0	0.0	5.0	9.0	2.0	0.0	4.0	8.0	6.0	8.0	10.0	1.0
TIMP1	8412.0	9363.0	2763.0	3153.0	1816.0	6301.0	1954.0	3080.0	3680.0	7580.0	5853.0	627.0
KLHL4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRE	705.0	620.0	500.0	393.0	324.0	301.0	164.0	303.0	256.0	408.0	139.0	128.0
PCDH11X	0.0	11.0	54.0	0.0	28.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
FGD1	69.0	26.0	73.0	43.0	39.0	42.0	21.0	19.0	31.0	78.0	22.0	15.0
PIN4	1805.0	4922.0	3249.0	1298.0	1946.0	1737.0	677.0	688.0	3320.0	1037.0	560.0	271.0
PORCN	798.0	342.0	532.0	393.0	394.0	272.0	186.0	170.0	263.0	229.0	158.0	98.0
ITIH6	22.0	10.0	5.0	5.0	1.0	11.0	2.0	2.0	8.0	7.0	3.0	2.0
MAGED2	5795.0	7915.0	3461.0	2518.0	1724.0	4813.0	1337.0	1540.0	5917.0	1643.0	1030.0	536.0
RBM3	10323.0	11422.0	16450.0	6761.0	10615.0	10218.0	3296.0	3449.0	11781.0	9805.0	5856.0	2106.0
KLF8	247.0	205.0	265.0	150.0	291.0	123.0	51.0	75.0	107.0	276.0	58.0	29.0
SRPX2	612.0	885.0	335.0	296.0	141.0	433.0	139.0	316.0	772.0	663.0	328.0	62.0
SYTL4	407.0	810.0	549.0	126.0	330.0	314.0	54.0	109.0	242.0	197.0	117.0	76.0
ZDHHC15	125.0	66.0	131.0	41.0	62.0	56.0	30.0	13.0	29.0	34.0	19.0	10.0
CENPI	10.0	7.0	6.0	0.0	9.0	0.0	1.0	0.0	8.0	22.0	3.0	0.0
DRP2	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0
TAF7L	21.0	42.0	34.0	13.0	34.0	23.0	3.0	11.0	20.0	13.0	12.0	1.0
PBDC1	1380.0	4247.0	1208.0	805.0	737.0	1186.0	420.0	544.0	2369.0	1056.0	563.0	186.0
GLA	579.0	855.0	219.0	247.0	126.0	337.0	105.0	168.0	567.0	491.0	182.0	96.0
ARMCX3	1214.0	2973.0	1851.0	634.0	761.0	853.0	311.0	400.0	1083.0	621.0	363.0	112.0
BEX4	1060.0	1707.0	1589.0	839.0	836.0	895.0	400.0	576.0	1229.0	489.0	286.0	165.0
KIAA0226L	8.0	3.0	3.0	1.0	0.0	1.0	1.0	13.0	4.0	8.0	57.0	0.0
NALCN	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF14	9.0	171.0	56.0	1.0	4.0	62.0	0.0	0.0	68.0	8.0	8.0	7.0
HTR2A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NDFIP2	2245.0	1848.0	2680.0	1107.0	1515.0	1600.0	591.0	608.0	1656.0	1720.0	975.0	640.0
TNFSF13B	55.0	372.0	243.0	76.0	78.0	31.0	28.0	15.0	113.0	51.0	236.0	6.0
FNDC3A	2013.0	2777.0	1480.0	695.0	815.0	1066.0	334.0	451.0	1040.0	912.0	512.0	208.0
MLNR	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDADC1	233.0	564.0	305.0	174.0	191.0	139.0	94.0	75.0	434.0	100.0	69.0	30.0
CAB39L	1432.0	1087.0	1243.0	609.0	886.0	553.0	302.0	430.0	722.0	788.0	280.0	192.0
KLF5	15689.0	14420.0	16416.0	11035.0	15243.0	7354.0	5258.0	6495.0	6777.0	10719.0	5623.0	2031.0
STK24	4826.0	2938.0	4167.0	1846.0	2767.0	2473.0	821.0	787.0	1860.0	3618.0	2112.0	972.0
ACP5	337.0	375.0	343.0	157.0	178.0	259.0	65.0	187.0	239.0	264.0	632.0	44.0
DNAJC3	4477.0	8932.0	4003.0	2190.0	2275.0	3076.0	1213.0	1526.0	3643.0	2400.0	1840.0	792.0
UGGT2	852.0	699.0	504.0	373.0	358.0	420.0	169.0	181.0	457.0	375.0	201.0	90.0
ARHGEF7	737.0	673.0	788.0	360.0	495.0	483.0	157.0	235.0	428.0	442.0	282.0	100.0
FGF9	31.0	83.0	124.0	13.0	66.0	30.0	2.0	0.0	59.0	8.0	4.0	2.0
SGCG	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
PARP4	2785.0	1802.0	1358.0	1107.0	887.0	1512.0	498.0	803.0	846.0	1607.0	933.0	282.0
SUPT20H	1039.0	1709.0	1206.0	475.0	611.0	576.0	206.0	267.0	927.0	517.0	232.0	108.0
MRPS31	1290.0	6229.0	3072.0	740.0	1052.0	1833.0	310.0	338.0	12668.0	686.0	285.0	231.0
SLC25A15	82.0	60.0	69.0	55.0	49.0	27.0	33.0	25.0	39.0	50.0	29.0	10.0
KPNA3	1507.0	2058.0	1346.0	639.0	937.0	1080.0	291.0	292.0	2025.0	997.0	524.0	225.0
FLT1	113.0	95.0	40.0	4.0	24.0	21.0	6.0	9.0	7.0	17.0	29.0	1.0
RGCC	1778.0	2609.0	3122.0	491.0	1448.0	2105.0	262.0	877.0	908.0	816.0	1543.0	162.0
VWA8	804.0	388.0	265.0	291.0	290.0	283.0	203.0	172.0	204.0	370.0	215.0	52.0
DGKH	2116.0	3889.0	1710.0	719.0	1166.0	1638.0	330.0	337.0	2100.0	851.0	394.0	320.0
KATNAL1	233.0	264.0	114.0	113.0	44.0	142.0	61.0	35.0	303.0	52.0	42.0	17.0
INTS6	788.0	1581.0	1912.0	382.0	1438.0	452.0	153.0	207.0	1144.0	556.0	216.0	103.0
IRG1	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHRS12	463.0	982.0	563.0	287.0	257.0	395.0	135.0	151.0	796.0	207.0	126.0	41.0
MEDAG	0.0	1.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0
TSC22D1	3917.0	9769.0	8294.0	2784.0	4086.0	2184.0	1199.0	1313.0	6124.0	1982.0	1032.0	390.0
CLN5	1402.0	1807.0	1442.0	586.0	554.0	815.0	329.0	365.0	1339.0	720.0	377.0	145.0
OLFM4	2.0	0.0	4.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	4.0
MSLN	5986.0	3951.0	1623.0	4332.0	1303.0	2207.0	2477.0	4439.0	5176.0	2735.0	1056.0	927.0
MGRN1	935.0	939.0	1407.0	446.0	775.0	478.0	220.0	260.0	498.0	482.0	291.0	96.0
ZNF629	666.0	584.0	850.0	448.0	540.0	365.0	162.0	173.0	377.0	225.0	120.0	105.0
TRADD	905.0	2815.0	1359.0	556.0	677.0	965.0	294.0	347.0	1395.0	668.0	445.0	78.0
HSF4	91.0	151.0	214.0	30.0	70.0	107.0	10.0	17.0	68.0	38.0	8.0	4.0
CORO1A	333.0	201.0	233.0	230.0	128.0	129.0	109.0	218.0	557.0	288.0	1265.0	23.0
MAPK3	1527.0	1709.0	1489.0	1018.0	1126.0	837.0	446.0	493.0	1484.0	620.0	415.0	176.0
GDPD3	1839.0	1182.0	541.0	703.0	394.0	441.0	407.0	764.0	679.0	864.0	683.0	193.0
ELMO3	1290.0	767.0	608.0	510.0	411.0	876.0	310.0	373.0	730.0	708.0	350.0	109.0
PHKB	2511.0	2311.0	2168.0	793.0	1412.0	1038.0	395.0	465.0	1049.0	1089.0	772.0	196.0
LYRM1	368.0	1335.0	815.0	340.0	534.0	309.0	146.0	133.0	743.0	259.0	137.0	66.0
NUTF2	1544.0	1998.0	1677.0	812.0	785.0	681.0	479.0	471.0	1997.0	1153.0	685.0	116.0
NUP93	1064.0	797.0	522.0	316.0	388.0	574.0	148.0	206.0	658.0	621.0	293.0	120.0
CENPT	641.0	533.0	484.0	309.0	233.0	306.0	144.0	159.0	470.0	299.0	185.0	56.0
TSNAXIP1	501.0	444.0	245.0	88.0	77.0	434.0	29.0	36.0	973.0	47.0	30.0	55.0
NFAT5	2634.0	3138.0	2933.0	1437.0	2134.0	1600.0	629.0	813.0	1407.0	2117.0	754.0	342.0
LONP2	3608.0	3279.0	3404.0	1534.0	2018.0	2467.0	726.0	960.0	1323.0	1856.0	1162.0	597.0
N4BP1	1755.0	2274.0	1294.0	876.0	814.0	952.0	407.0	526.0	781.0	1058.0	717.0	354.0
CBLN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARL2BP	1063.0	1220.0	1218.0	729.0	799.0	571.0	374.0	367.0	1178.0	710.0	364.0	125.0
PLLP	1138.0	2178.0	1373.0	621.0	733.0	1362.0	320.0	415.0	1883.0	629.0	244.0	132.0
ZNF423	1.0	4.0	6.0	4.0	1.0	0.0	0.0	2.0	4.0	1.0	1.0	2.0
CCL22	47.0	61.0	97.0	17.0	0.0	12.0	5.0	9.0	3.0	12.0	88.0	6.0
DHODH	282.0	437.0	324.0	112.0	216.0	229.0	55.0	74.0	261.0	152.0	54.0	44.0
CCL17	37.0	284.0	234.0	23.0	38.0	31.0	12.0	54.0	103.0	16.0	822.0	5.0
CTCF	1726.0	2506.0	1174.0	1038.0	725.0	1094.0	483.0	516.0	640.0	1204.0	526.0	351.0
ACD	472.0	351.0	359.0	302.0	273.0	304.0	141.0	142.0	301.0	274.0	129.0	51.0
POLR2C	1135.0	2489.0	1239.0	762.0	752.0	611.0	426.0	416.0	1739.0	677.0	414.0	174.0
PARD6A	291.0	293.0	365.0	199.0	180.0	136.0	103.0	112.0	147.0	106.0	49.0	15.0
ZNF821	455.0	474.0	604.0	321.0	379.0	203.0	165.0	224.0	338.0	242.0	77.0	76.0
MMP15	479.0	428.0	495.0	300.0	264.0	285.0	118.0	154.0	132.0	236.0	107.0	77.0
USB1	475.0	1004.0	674.0	384.0	486.0	174.0	194.0	230.0	493.0	340.0	234.0	68.0
CYB5B	819.0	1860.0	1814.0	608.0	1215.0	611.0	318.0	340.0	1366.0	741.0	317.0	97.0
CCDC113	1991.0	3142.0	638.0	398.0	206.0	1555.0	169.0	138.0	2060.0	286.0	204.0	286.0
PRSS54	11.0	4.0	12.0	2.0	2.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0
NME3	2467.0	3045.0	1961.0	1668.0	1081.0	1579.0	854.0	1000.0	2404.0	1227.0	829.0	194.0
NDRG4	92.0	30.0	50.0	19.0	12.0	45.0	10.0	3.0	28.0	50.0	6.0	32.0
PSMD7	3472.0	8662.0	2667.0	1969.0	1732.0	2852.0	1077.0	1167.0	5295.0	2992.0	1585.0	574.0
SETD6	614.0	658.0	396.0	295.0	270.0	327.0	123.0	132.0	602.0	294.0	123.0	79.0
SLC38A7	415.0	487.0	486.0	240.0	273.0	205.0	118.0	122.0	210.0	254.0	91.0	99.0
VAC14	1160.0	835.0	661.0	452.0	389.0	516.0	214.0	241.0	849.0	594.0	286.0	147.0
HAS3	98.0	320.0	223.0	95.0	88.0	68.0	42.0	71.0	51.0	331.0	273.0	13.0
TANGO6	142.0	120.0	79.0	44.0	49.0	60.0	23.0	35.0	50.0	94.0	47.0	11.0
COG4	844.0	859.0	469.0	425.0	307.0	449.0	180.0	224.0	444.0	513.0	284.0	89.0
SMPD3	694.0	963.0	1097.0	224.0	470.0	482.0	99.0	117.0	484.0	123.0	142.0	101.0
SLC7A6OS	650.0	1136.0	668.0	383.0	441.0	271.0	159.0	210.0	742.0	255.0	150.0	72.0
SLC7A6	434.0	308.0	334.0	114.0	152.0	267.0	55.0	90.0	204.0	157.0	142.0	63.0
PLA2G15	163.0	204.0	275.0	116.0	162.0	115.0	62.0	55.0	157.0	101.0	54.0	40.0
ESRP2	947.0	635.0	801.0	551.0	520.0	591.0	230.0	356.0	425.0	884.0	352.0	146.0
FA2H	1322.0	428.0	931.0	725.0	1126.0	600.0	332.0	343.0	572.0	1078.0	944.0	176.0
WDR59	635.0	758.0	859.0	322.0	562.0	405.0	159.0	206.0	426.0	328.0	136.0	72.0
MON1B	1152.0	1428.0	1926.0	684.0	1125.0	756.0	321.0	332.0	500.0	576.0	260.0	141.0
CMC2	1129.0	1243.0	1288.0	685.0	806.0	841.0	385.0	363.0	846.0	932.0	476.0	181.0
AXIN1	587.0	405.0	397.0	227.0	306.0	285.0	69.0	98.0	300.0	299.0	157.0	97.0
HCFC1R1	1286.0	963.0	1031.0	814.0	765.0	607.0	389.0	599.0	736.0	708.0	552.0	131.0
NPRL3	428.0	529.0	612.0	294.0	385.0	204.0	121.0	176.0	332.0	257.0	104.0	37.0
MLYCD	778.0	868.0	887.0	373.0	579.0	437.0	157.0	182.0	216.0	319.0	155.0	100.0
MPG	2510.0	3145.0	2604.0	1921.0	1761.0	1582.0	1002.0	1214.0	2467.0	1499.0	804.0	197.0
NECAB2	1.0	1.0	1.0	1.0	0.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0
HSDL1	283.0	316.0	351.0	131.0	168.0	161.0	78.0	89.0	269.0	170.0	53.0	37.0
TAF1C	478.0	231.0	559.0	251.0	315.0	321.0	105.0	110.0	183.0	236.0	96.0	51.0
NAGPA	343.0	382.0	359.0	288.0	331.0	197.0	127.0	175.0	215.0	219.0	128.0	61.0
WFDC1	6.0	37.0	69.0	1.0	15.0	21.0	0.0	0.0	10.0	4.0	1.0	0.0
SEC14L5	98.0	53.0	33.0	29.0	38.0	54.0	8.0	11.0	31.0	17.0	7.0	6.0
COTL1	584.0	299.0	625.0	203.0	165.0	188.0	108.0	382.0	70.0	558.0	4455.0	75.0
USP10	1266.0	2658.0	1182.0	527.0	646.0	943.0	219.0	264.0	1657.0	786.0	467.0	186.0
CRISPLD2	38.0	43.0	132.0	34.0	36.0	25.0	9.0	13.0	44.0	24.0	31.0	8.0
TSC2	1390.0	1134.0	1836.0	836.0	1520.0	738.0	380.0	450.0	796.0	527.0	244.0	155.0
ZNF500	230.0	477.0	654.0	156.0	391.0	168.0	75.0	77.0	185.0	112.0	27.0	21.0
NME4	1120.0	536.0	1151.0	1098.0	917.0	483.0	554.0	390.0	854.0	459.0	184.0	59.0
ABCC1	1700.0	395.0	639.0	398.0	448.0	602.0	218.0	274.0	200.0	1912.0	862.0	172.0
NOMO3	198.0	280.0	571.0	108.0	431.0	156.0	52.0	54.0	198.0	39.0	26.0	37.0
LMF1	479.0	352.0	328.0	292.0	147.0	297.0	154.0	171.0	333.0	287.0	154.0	39.0
FOXF1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
NARFL	835.0	1036.0	750.0	607.0	645.0	452.0	277.0	345.0	515.0	413.0	229.0	109.0
MTHFSD	398.0	327.0	219.0	130.0	164.0	215.0	59.0	83.0	240.0	156.0	78.0	33.0
CLCN7	624.0	477.0	776.0	437.0	514.0	403.0	198.0	236.0	442.0	308.0	149.0	90.0
HAGHL	624.0	1012.0	587.0	146.0	164.0	539.0	40.0	63.0	1738.0	104.0	58.0	51.0
FAM173A	1250.0	2275.0	1688.0	1066.0	1464.0	759.0	559.0	821.0	266.0	707.0	477.0	79.0
SLC7A5	65.0	56.0	53.0	50.0	17.0	30.0	19.0	27.0	20.0	189.0	288.0	5.0
METRN	1804.0	1620.0	876.0	216.0	571.0	937.0	97.0	186.0	407.0	830.0	241.0	154.0
FBXO31	575.0	286.0	347.0	214.0	214.0	553.0	91.0	94.0	270.0	280.0	131.0	210.0
STUB1	5327.0	6304.0	4015.0	3697.0	3338.0	4150.0	1795.0	2038.0	4298.0	3295.0	1556.0	905.0
RHBDL1	73.0	120.0	117.0	97.0	75.0	81.0	28.0	28.0	138.0	87.0	20.0	11.0
NUBP1	901.0	1814.0	1016.0	522.0	666.0	645.0	265.0	321.0	1201.0	609.0	313.0	148.0
UBE2I	2958.0	4642.0	3879.0	1745.0	2273.0	1988.0	947.0	1139.0	2560.0	2530.0	1491.0	392.0
ZP2	4.0	7.0	14.0	1.0	5.0	13.0	1.0	1.0	3.0	0.0	1.0	0.0
MEFV	3.0	6.0	9.0	1.0	0.0	0.0	0.0	2.0	0.0	5.0	36.0	0.0
CRYM	3843.0	7369.0	2498.0	1733.0	1272.0	4941.0	1027.0	2441.0	4328.0	867.0	1344.0	537.0
EEF2K	1791.0	938.0	1778.0	710.0	1075.0	915.0	357.0	369.0	838.0	588.0	447.0	142.0
CAPN15	644.0	456.0	856.0	449.0	688.0	420.0	171.0	210.0	284.0	354.0	213.0	103.0
PIEZO1	425.0	332.0	306.0	214.0	196.0	284.0	88.0	129.0	155.0	332.0	170.0	91.0
GSPT1	6359.0	9805.0	4649.0	2454.0	2649.0	3312.0	1163.0	1758.0	1696.0	6218.0	2433.0	1092.0
ZNF174	304.0	210.0	181.0	200.0	126.0	124.0	97.0	116.0	132.0	188.0	63.0	39.0
CLUAP1	1420.0	5423.0	1124.0	424.0	520.0	1410.0	219.0	200.0	3865.0	416.0	205.0	214.0
UBFD1	704.0	1017.0	893.0	391.0	451.0	416.0	184.0	167.0	293.0	348.0	195.0	100.0
PRSS33	1.0	9.0	5.0	5.0	2.0	7.0	3.0	1.0	0.0	4.0	1.0	3.0
EARS2	217.0	259.0	222.0	124.0	166.0	123.0	74.0	78.0	148.0	110.0	65.0	22.0
TCEB2	26396.0	38178.0	31562.0	25862.0	25481.0	21660.0	13452.0	13695.0	28975.0	15694.0	8240.0	4532.0
GGA2	999.0	957.0	1079.0	435.0	520.0	520.0	207.0	216.0	673.0	504.0	282.0	88.0
AQP8	7.0	2.0	3.0	6.0	11.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0
