	GRO-03_biopsy	GRO-10_biopsy	GRO-08_biopsy	D372_Biop_Int2	GRO-06_biopsy	D326_Biop_Pro1	GRO-09_biopsy	D367_Biop_Pro1	D372_Biop_Pro1	D353_Biop_Pro1	D339_Biop_Int1	D354_Biop_Int2	GRO-04_biopsy	GRO-07_biopsy
SOX5	384.0	297.0	324.0	51.0	441.0	72.0	174.0	50.0	61.0	26.0	22.0	11.0	176.0	472.0
RERG	566.0	209.0	182.0	221.0	292.0	288.0	116.0	42.0	426.0	71.0	195.0	92.0	93.0	304.0
SLCO1B1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLRD1	686.0	1015.0	851.0	12.0	633.0	58.0	1413.0	21.0	20.0	3.0	1.0	9.0	921.0	1214.0
KLRC1	973.0	695.0	1477.0	2.0	694.0	78.0	1337.0	15.0	14.0	3.0	0.0	0.0	1534.0	670.0
SPX	44.0	13.0	20.0	2.0	17.0	3.0	4.0	5.0	24.0	9.0	5.0	8.0	10.0	14.0
PRH2	7.0	641.0	218.0	198.0	13.0	577.0	1241.0	14.0	0.0	1.0	26.0	419.0	1.0	0.0
LRP4	234.0	187.0	131.0	28.0	206.0	100.0	106.0	83.0	132.0	16.0	19.0	19.0	97.0	200.0
MYBPC3	7.0	12.0	14.0	0.0	12.0	8.0	9.0	25.0	4.0	5.0	5.0	1.0	12.0	23.0
DDB2	2040.0	1220.0	727.0	732.0	1172.0	1290.0	2198.0	1013.0	2274.0	285.0	366.0	226.0	884.0	1275.0
ACP2	952.0	610.0	447.0	319.0	605.0	456.0	2264.0	315.0	715.0	97.0	368.0	94.0	497.0	732.0
USP26	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
FAM127A	765.0	849.0	494.0	272.0	749.0	444.0	1200.0	222.0	586.0	123.0	253.0	118.0	475.0	767.0
RAB33A	26.0	31.0	21.0	15.0	21.0	5.0	146.0	6.0	9.0	1.0	8.0	6.0	52.0	29.0
SOX3	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
RBMX2	1168.0	1325.0	738.0	386.0	1228.0	802.0	2291.0	567.0	959.0	208.0	272.0	127.0	1011.0	1667.0
STK26	529.0	300.0	269.0	47.0	330.0	65.0	511.0	91.0	155.0	30.0	88.0	40.0	210.0	323.0
PIWIL4	58.0	29.0	18.0	33.0	56.0	8.0	36.0	15.0	51.0	2.0	6.0	7.0	35.0	48.0
PUM1	2516.0	2323.0	1808.0	222.0	4347.0	724.0	3382.0	564.0	937.0	202.0	181.0	173.0	1632.0	4149.0
SPOCD1	65.0	21.0	59.0	1.0	65.0	0.0	133.0	11.0	5.0	1.0	2.0	0.0	10.0	91.0
YARS	558.0	433.0	389.0	185.0	598.0	161.0	1043.0	125.0	335.0	79.0	103.0	77.0	355.0	568.0
PHC2	624.0	520.0	397.0	109.0	648.0	194.0	857.0	152.0	196.0	35.0	8.0	70.0	409.0	643.0
CDCA8	70.0	102.0	42.0	25.0	63.0	21.0	260.0	26.0	35.0	7.0	30.0	3.0	46.0	63.0
GNL2	1415.0	860.0	797.0	510.0	1197.0	482.0	1498.0	417.0	897.0	184.0	180.0	216.0	820.0	1063.0
AGO4	449.0	427.0	293.0	13.0	550.0	134.0	458.0	107.0	83.0	54.0	30.0	42.0	233.0	583.0
HOOK1	5794.0	2570.0	2624.0	848.0	3691.0	1292.0	2596.0	1039.0	1334.0	392.0	329.0	417.0	2488.0	3953.0
CYP2J2	2418.0	916.0	1189.0	456.0	1477.0	1088.0	984.0	937.0	817.0	197.0	436.0	770.0	1316.0	1922.0
BTF3L4	3047.0	2555.0	1670.0	653.0	2214.0	1106.0	3164.0	1006.0	1566.0	560.0	837.0	522.0	1729.0	2478.0
ZCCHC11	2588.0	2310.0	2038.0	252.0	2695.0	692.0	2600.0	402.0	616.0	142.0	207.0	115.0	1600.0	2796.0
PRPF38A	2276.0	1482.0	1282.0	512.0	1629.0	966.0	2262.0	825.0	1308.0	284.0	444.0	356.0	1236.0	1702.0
DSC2	131.0	153.0	70.0	3.0	128.0	36.0	207.0	32.0	56.0	15.0	23.0	8.0	62.0	110.0
DSG3	716.0	332.0	177.0	142.0	639.0	106.0	181.0	92.0	329.0	39.0	123.0	20.0	115.0	234.0
RNF138	1045.0	807.0	625.0	162.0	851.0	248.0	836.0	290.0	366.0	157.0	160.0	113.0	548.0	908.0
ELP2	2032.0	1490.0	1184.0	492.0	1445.0	935.0	2010.0	749.0	1285.0	244.0	319.0	237.0	949.0	1692.0
DSG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DSC3	1723.0	1228.0	874.0	232.0	1062.0	344.0	1107.0	249.0	693.0	142.0	707.0	89.0	423.0	660.0
DSC1	2.0	2.0	6.0	2.0	7.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	6.0
DTNA	17.0	61.0	19.0	29.0	34.0	14.0	40.0	0.0	5.0	0.0	2.0	3.0	47.0	129.0
FHOD3	221.0	194.0	307.0	14.0	153.0	38.0	306.0	23.0	142.0	27.0	14.0	39.0	128.0	365.0
TPGS2	2693.0	2031.0	1582.0	690.0	1417.0	730.0	3012.0	785.0	1368.0	437.0	454.0	239.0	2004.0	2161.0
DAGLA	96.0	121.0	84.0	24.0	164.0	28.0	67.0	64.0	42.0	25.0	17.0	30.0	44.0	164.0
SLC43A3	854.0	527.0	406.0	331.0	649.0	247.0	1687.0	116.0	583.0	103.0	124.0	116.0	348.0	697.0
TIMM10	785.0	949.0	813.0	1780.0	1280.0	1046.0	2415.0	1002.0	3455.0	548.0	694.0	372.0	869.0	1086.0
GIF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
DHX34	191.0	163.0	136.0	52.0	254.0	72.0	241.0	53.0	101.0	21.0	4.0	14.0	93.0	231.0
APLNR	64.0	160.0	72.0	187.0	52.0	99.0	233.0	28.0	50.0	9.0	72.0	14.0	30.0	64.0
FADS2	37.0	141.0	54.0	11.0	92.0	32.0	109.0	7.0	21.0	0.0	3.0	0.0	30.0	69.0
TMEM258	4332.0	13403.0	7227.0	5850.0	9787.0	6684.0	8171.0	6096.0	7728.0	3353.0	4924.0	3248.0	10023.0	13597.0
TCN1	574.0	497.0	983.0	1120.0	819.0	349.0	1921.0	507.0	329.0	277.0	576.0	210.0	1008.0	624.0
C5AR2	23.0	35.0	46.0	47.0	127.0	148.0	94.0	96.0	74.0	25.0	34.0	39.0	16.0	157.0
TMEM165	7497.0	4147.0	2926.0	957.0	5258.0	1207.0	8207.0	1219.0	1726.0	475.0	988.0	446.0	1110.0	5678.0
CLOCK	1276.0	1148.0	779.0	113.0	1315.0	279.0	1135.0	221.0	282.0	41.0	206.0	89.0	607.0	1479.0
PDGFRA	107.0	209.0	103.0	29.0	101.0	0.0	116.0	14.0	26.0	1.0	4.0	4.0	20.0	39.0
GGACT	201.0	116.0	134.0	29.0	121.0	85.0	213.0	17.0	116.0	12.0	38.0	41.0	127.0	178.0
COL4A2	86.0	330.0	101.0	97.0	135.0	20.0	1153.0	23.0	35.0	1.0	45.0	12.0	48.0	201.0
CLDN10	1329.0	2006.0	587.0	734.0	1168.0	837.0	5041.0	1120.0	1884.0	977.0	1245.0	471.0	813.0	1470.0
DZIP1	287.0	459.0	391.0	20.0	576.0	47.0	396.0	21.0	39.0	35.0	8.0	37.0	358.0	887.0
UBAC2	1818.0	945.0	865.0	424.0	1137.0	707.0	2583.0	583.0	1031.0	250.0	230.0	216.0	893.0	1265.0
ARGLU1	7090.0	8972.0	6059.0	337.0	10677.0	2317.0	13588.0	1039.0	2112.0	333.0	229.0	413.0	5773.0	11965.0
BIVM	449.0	393.0	315.0	34.0	482.0	309.0	523.0	267.0	350.0	97.0	141.0	91.0	222.0	493.0
ERCC5	746.0	594.0	585.0	222.0	859.0	297.0	900.0	303.0	619.0	156.0	63.0	184.0	595.0	772.0
TPP2	967.0	996.0	934.0	223.0	1542.0	346.0	1227.0	200.0	435.0	147.0	4.0	75.0	827.0	1488.0
KDELC1	38.0	39.0	31.0	16.0	42.0	16.0	55.0	8.0	34.0	9.0	15.0	2.0	18.0	27.0
CARS2	1282.0	720.0	608.0	106.0	1007.0	289.0	1819.0	157.0	200.0	69.0	104.0	76.0	367.0	969.0
ARHGAP32	1849.0	1887.0	1332.0	171.0	2577.0	500.0	1736.0	498.0	477.0	131.0	252.0	159.0	1239.0	3162.0
STT3A	678.0	858.0	603.0	184.0	1093.0	470.0	1172.0	461.0	452.0	180.0	208.0	158.0	514.0	983.0
ADAMTS8	22.0	67.0	32.0	14.0	37.0	6.0	47.0	4.0	11.0	2.0	3.0	3.0	9.0	80.0
ACRV1	1.0	0.0	2.0	0.0	3.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0
ETS1	680.0	835.0	1436.0	100.0	2662.0	133.0	1086.0	155.0	127.0	58.0	99.0	53.0	485.0	1809.0
SLC37A2	136.0	64.0	45.0	2.0	71.0	31.0	178.0	2.0	13.0	20.0	7.0	3.0	39.0	82.0
KLB	15.0	18.0	15.0	14.0	48.0	41.0	24.0	15.0	12.0	7.0	29.0	9.0	18.0	40.0
TMED7	970.0	1134.0	811.0	265.0	1468.0	445.0	1325.0	406.0	582.0	238.0	344.0	198.0	532.0	1112.0
APC	1900.0	1185.0	1165.0	98.0	1588.0	313.0	1567.0	191.0	280.0	53.0	111.0	68.0	790.0	1796.0
NREP	173.0	187.0	109.0	14.0	121.0	65.0	256.0	44.0	41.0	10.0	75.0	8.0	45.0	112.0
WDR36	1215.0	803.0	654.0	118.0	917.0	251.0	820.0	236.0	267.0	77.0	112.0	78.0	432.0	780.0
OSTF1	3079.0	1579.0	1253.0	813.0	1735.0	1420.0	2863.0	1145.0	1712.0	466.0	870.0	291.0	1642.0	1293.0
RFK	1272.0	1173.0	955.0	248.0	1264.0	399.0	1892.0	297.0	468.0	98.0	195.0	126.0	725.0	1378.0
UBQLN1	1482.0	1489.0	1119.0	262.0	1821.0	433.0	1822.0	562.0	668.0	198.0	162.0	197.0	1050.0	2072.0
NAA35	1063.0	904.0	825.0	47.0	1241.0	314.0	1339.0	270.0	366.0	120.0	141.0	110.0	745.0	1381.0
C9orf40	255.0	195.0	93.0	20.0	167.0	68.0	378.0	48.0	71.0	18.0	56.0	23.0	53.0	172.0
ANXA1	72584.0	34352.0	29663.0	16692.0	55192.0	7374.0	35571.0	9040.0	17318.0	7755.0	16243.0	4437.0	42009.0	55546.0
CTSL	2060.0	1619.0	1041.0	637.0	1482.0	728.0	2828.0	728.0	1473.0	319.0	232.0	398.0	1528.0	2277.0
TMEM2	2559.0	1642.0	1140.0	37.0	2488.0	115.0	1442.0	146.0	72.0	42.0	39.0	22.0	885.0	2078.0
AGTPBP1	259.0	322.0	310.0	61.0	424.0	55.0	336.0	81.0	66.0	10.0	58.0	50.0	221.0	466.0
GOLM1	1766.0	1913.0	1918.0	524.0	2777.0	386.0	2864.0	553.0	375.0	217.0	187.0	199.0	1335.0	3128.0
FAM189A2	164.0	136.0	115.0	39.0	234.0	64.0	139.0	77.0	131.0	39.0	13.0	20.0	57.0	260.0
PSAT1	527.0	288.0	257.0	309.0	303.0	639.0	523.0	507.0	1038.0	213.0	171.0	157.0	221.0	264.0
ISCA1	1159.0	1130.0	834.0	344.0	1273.0	483.0	1732.0	367.0	690.0	237.0	211.0	139.0	1395.0	1617.0
ADAM19	146.0	179.0	90.0	6.0	69.0	12.0	548.0	1.0	4.0	0.0	1.0	0.0	139.0	70.0
HAVCR2	160.0	109.0	103.0	21.0	178.0	29.0	738.0	21.0	27.0	12.0	11.0	6.0	132.0	129.0
CCNJL	16.0	39.0	26.0	3.0	20.0	3.0	40.0	6.0	10.0	3.0	3.0	4.0	12.0	29.0
TAOK3	1518.0	1770.0	1062.0	265.0	2081.0	460.0	2830.0	324.0	604.0	89.0	183.0	123.0	1231.0	2380.0
USP30	196.0	197.0	149.0	71.0	214.0	104.0	173.0	78.0	147.0	45.0	2.0	37.0	112.0	236.0
SDS	169.0	45.0	58.0	10.0	161.0	18.0	446.0	6.0	9.0	8.0	4.0	3.0	114.0	66.0
MSI1	8.0	9.0	2.0	1.0	10.0	3.0	11.0	5.0	1.0	0.0	4.0	1.0	5.0	10.0
HNF1A	5.0	4.0	23.0	11.0	19.0	25.0	17.0	12.0	11.0	7.0	7.0	8.0	7.0	37.0
FBXO21	1589.0	1573.0	1206.0	605.0	1772.0	606.0	1698.0	557.0	986.0	394.0	345.0	269.0	1039.0	1965.0
TBX3	672.0	352.0	242.0	37.0	349.0	42.0	295.0	42.0	104.0	30.0	2.0	2.0	66.0	416.0
OASL	204.0	173.0	132.0	10.0	156.0	22.0	241.0	13.0	14.0	3.0	24.0	1.0	361.0	166.0
HRK	6.0	28.0	30.0	6.0	70.0	18.0	56.0	6.0	9.0	10.0	2.0	8.0	35.0	119.0
RNFT2	47.0	47.0	48.0	0.0	154.0	21.0	56.0	18.0	17.0	9.0	4.0	13.0	75.0	204.0
P2RX4	647.0	362.0	305.0	187.0	358.0	180.0	809.0	99.0	314.0	60.0	46.0	36.0	327.0	560.0
CCDC64	147.0	150.0	113.0	16.0	287.0	28.0	407.0	24.0	20.0	10.0	23.0	14.0	157.0	209.0
DTX1	3.0	2.0	6.0	2.0	1.0	0.0	33.0	0.0	1.0	0.0	0.0	1.0	2.0	4.0
TRAFD1	637.0	486.0	418.0	128.0	655.0	232.0	716.0	180.0	470.0	45.0	144.0	41.0	413.0	696.0
DMTF1	668.0	580.0	611.0	22.0	926.0	198.0	601.0	172.0	197.0	22.0	50.0	87.0	449.0	748.0
TMEM243	2101.0	1665.0	1466.0	506.0	1774.0	1140.0	2344.0	1045.0	1606.0	443.0	522.0	517.0	1535.0	1645.0
CCDC146	2634.0	5776.0	6615.0	537.0	11625.0	1383.0	4577.0	506.0	1360.0	768.0	114.0	981.0	9210.0	13473.0
TMEM60	1282.0	1237.0	592.0	360.0	860.0	611.0	1666.0	479.0	1032.0	136.0	442.0	207.0	858.0	1110.0
CD36	150.0	152.0	194.0	37.0	159.0	17.0	369.0	16.0	15.0	16.0	11.0	4.0	25.0	321.0
UGT2A3	0.0	0.0	1.0	1.0	1.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
CSN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0
UGT2B28	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PNPLA8	3701.0	1725.0	1629.0	293.0	2564.0	433.0	2230.0	356.0	481.0	227.0	152.0	109.0	1433.0	2223.0
HILPDA	656.0	533.0	620.0	113.0	1076.0	397.0	1055.0	196.0	345.0	35.0	128.0	117.0	621.0	1317.0
FAM71F1	4.0	1.0	5.0	0.0	8.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	8.0
RINT1	349.0	303.0	303.0	50.0	289.0	149.0	294.0	130.0	235.0	43.0	142.0	88.0	171.0	295.0
SRPK2	2800.0	2498.0	1508.0	584.0	2621.0	1023.0	3529.0	771.0	1177.0	283.0	356.0	261.0	2126.0	3607.0
KCP	54.0	62.0	23.0	24.0	65.0	41.0	87.0	15.0	51.0	9.0	9.0	4.0	25.0	66.0
TES	2784.0	2405.0	1867.0	261.0	4831.0	450.0	3027.0	411.0	499.0	158.0	118.0	130.0	1508.0	4643.0
MDFIC	812.0	702.0	735.0	98.0	996.0	189.0	809.0	125.0	155.0	116.0	103.0	103.0	340.0	986.0
MTO1	499.0	375.0	336.0	64.0	450.0	260.0	485.0	235.0	374.0	95.0	126.0	114.0	284.0	443.0
ADGRB3	56.0	22.0	26.0	4.0	25.0	12.0	38.0	15.0	13.0	1.0	1.0	2.0	19.0	23.0
ANKRD6	846.0	449.0	368.0	189.0	589.0	265.0	473.0	205.0	434.0	92.0	63.0	94.0	260.0	591.0
HTR1B	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KHDC1	435.0	147.0	95.0	128.0	159.0	107.0	245.0	101.0	245.0	27.0	20.0	18.0	110.0	155.0
CEP162	838.0	1053.0	1070.0	99.0	1877.0	179.0	832.0	119.0	126.0	65.0	95.0	97.0	1090.0	2134.0
SYNCRIP	5510.0	3942.0	2917.0	844.0	5167.0	1195.0	7666.0	1092.0	1344.0	449.0	896.0	278.0	3516.0	4680.0
SNX14	1330.0	1353.0	1101.0	293.0	1462.0	433.0	1559.0	418.0	655.0	248.0	307.0	234.0	838.0	1749.0
NT5E	456.0	514.0	430.0	149.0	502.0	238.0	533.0	223.0	278.0	77.0	290.0	80.0	304.0	497.0
MRAP2	201.0	252.0	93.0	60.0	249.0	41.0	343.0	44.0	76.0	17.0	159.0	31.0	185.0	217.0
EPHA7	139.0	35.0	47.0	7.0	64.0	24.0	27.0	22.0	43.0	12.0	28.0	6.0	24.0	52.0
AKIRIN2	1452.0	1076.0	552.0	173.0	756.0	334.0	1322.0	354.0	488.0	144.0	189.0	143.0	690.0	644.0
ORC3	683.0	602.0	537.0	210.0	790.0	291.0	613.0	187.0	304.0	213.0	206.0	144.0	483.0	791.0
LCA5	1022.0	1379.0	1447.0	182.0	2434.0	297.0	1205.0	169.0	281.0	163.0	96.0	157.0	1796.0	2731.0
MAP3K7	976.0	884.0	507.0	221.0	853.0	394.0	940.0	473.0	490.0	176.0	192.0	125.0	493.0	886.0
CGA	0.0	0.0	0.0	0.0	2.0	0.0	44.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0
PRR5L	490.0	319.0	306.0	113.0	488.0	147.0	856.0	159.0	182.0	55.0	61.0	30.0	251.0	605.0
LMO2	1319.0	849.0	755.0	43.0	1369.0	620.0	2677.0	284.0	468.0	121.0	139.0	109.0	559.0	1558.0
PHF21A	790.0	702.0	571.0	39.0	883.0	284.0	864.0	195.0	296.0	81.0	40.0	52.0	431.0	895.0
NAT10	557.0	422.0	354.0	80.0	589.0	213.0	730.0	154.0	278.0	63.0	47.0	34.0	312.0	544.0
EHF	14916.0	5374.0	5668.0	673.0	10409.0	2884.0	8985.0	1247.0	2046.0	219.0	478.0	400.0	4262.0	8987.0
ELF5	452.0	160.0	241.0	14.0	515.0	376.0	290.0	158.0	38.0	40.0	74.0	14.0	123.0	419.0
PRRG4	3197.0	2403.0	1458.0	418.0	4161.0	1359.0	4214.0	1036.0	1628.0	286.0	673.0	228.0	1858.0	4218.0
CAPRIN1	1541.0	1785.0	1362.0	372.0	2267.0	669.0	2351.0	630.0	865.0	278.0	530.0	225.0	1003.0	2094.0
ATP5G2	19989.0	18086.0	11988.0	9828.0	17879.0	15440.0	32666.0	11998.0	22192.0	6243.0	9657.0	5476.0	14635.0	20214.0
DNAJC14	237.0	278.0	250.0	157.0	377.0	238.0	326.0	164.0	325.0	114.0	66.0	96.0	187.0	317.0
CD63	45965.0	37024.0	20212.0	16524.0	25371.0	15912.0	97314.0	17630.0	26692.0	5689.0	11875.0	5996.0	35655.0	37648.0
PRPH	2.0	11.0	1.0	5.0	3.0	0.0	5.0	1.0	0.0	1.0	0.0	1.0	3.0	7.0
AVIL	389.0	357.0	363.0	112.0	419.0	228.0	417.0	208.0	185.0	34.0	73.0	54.0	135.0	464.0
AMHR2	6.0	5.0	5.0	6.0	6.0	1.0	23.0	1.0	5.0	2.0	0.0	2.0	16.0	10.0
LACRT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GDF11	498.0	335.0	218.0	53.0	388.0	226.0	513.0	186.0	288.0	33.0	100.0	26.0	131.0	408.0
GLS2	370.0	112.0	118.0	81.0	140.0	146.0	240.0	156.0	364.0	53.0	54.0	29.0	141.0	186.0
ITGA7	41.0	65.0	27.0	37.0	35.0	8.0	79.0	2.0	11.0	4.0	4.0	2.0	12.0	42.0
TESPA1	45.0	61.0	79.0	14.0	108.0	6.0	260.0	4.0	8.0	1.0	2.0	1.0	81.0	81.0
FAM186B	12.0	7.0	10.0	4.0	16.0	4.0	9.0	3.0	5.0	5.0	4.0	0.0	7.0	13.0
RDH5	572.0	454.0	257.0	149.0	302.0	463.0	588.0	250.0	599.0	61.0	71.0	78.0	143.0	616.0
AGAP2	43.0	82.0	66.0	3.0	44.0	10.0	139.0	7.0	5.0	1.0	2.0	3.0	53.0	49.0
BLOC1S1	3119.0	6313.0	4193.0	2617.0	4790.0	3823.0	10187.0	3340.0	5677.0	2060.0	2898.0	1528.0	5957.0	7229.0
KRT85	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0
CDK4	2672.0	1454.0	963.0	983.0	1385.0	1287.0	3466.0	972.0	2081.0	366.0	730.0	339.0	1162.0	1567.0
PPP1R1A	100.0	35.0	30.0	22.0	33.0	29.0	46.0	22.0	12.0	7.0	18.0	33.0	51.0	229.0
TROAP	57.0	47.0	17.0	50.0	24.0	13.0	148.0	23.0	52.0	3.0	87.0	10.0	17.0	13.0
TSPAN31	1406.0	1018.0	827.0	365.0	1327.0	587.0	1666.0	390.0	507.0	182.0	209.0	203.0	832.0	1404.0
B4GALNT1	1.0	4.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	3.0	2.0
TFCP2	741.0	708.0	586.0	104.0	921.0	217.0	907.0	168.0	212.0	108.0	106.0	78.0	488.0	878.0
COQ10A	645.0	501.0	416.0	144.0	483.0	206.0	618.0	131.0	279.0	74.0	50.0	101.0	219.0	701.0
FAIM2	141.0	115.0	62.0	43.0	110.0	60.0	190.0	18.0	50.0	32.0	49.0	25.0	93.0	68.0
PAN2	415.0	329.0	284.0	71.0	520.0	109.0	410.0	9.0	245.0	90.0	8.0	57.0	241.0	503.0
ESPL1	32.0	23.0	10.0	8.0	16.0	35.0	54.0	6.0	30.0	7.0	10.0	4.0	6.0	19.0
KRT7	5725.0	5473.0	3555.0	2522.0	5329.0	1799.0	12270.0	3818.0	2706.0	959.0	3854.0	1276.0	2715.0	4978.0
ZC3H10	194.0	155.0	124.0	64.0	181.0	117.0	242.0	65.0	183.0	12.0	52.0	20.0	95.0	144.0
HNRNPA1	40987.0	17986.0	21155.0	7067.0	21991.0	20360.0	45218.0	17062.0	25544.0	3828.0	6557.0	4936.0	16391.0	22106.0
SLC26A10	6.0	8.0	2.0	3.0	2.0	0.0	6.0	1.0	1.0	0.0	0.0	0.0	4.0	5.0
ACVR1B	888.0	831.0	703.0	116.0	1447.0	421.0	819.0	307.0	455.0	62.0	147.0	80.0	539.0	1705.0
OS9	4794.0	2864.0	2458.0	1626.0	2777.0	1936.0	6293.0	1431.0	3404.0	609.0	689.0	660.0	2396.0	3758.0
MIP	2.0	2.0	2.0	1.0	4.0	2.0	12.0	3.0	1.0	1.0	2.0	1.0	5.0	3.0
KCNH3	95.0	183.0	129.0	27.0	219.0	28.0	116.0	27.0	59.0	24.0	16.0	36.0	176.0	281.0
LTV1	812.0	801.0	629.0	366.0	1025.0	470.0	1434.0	424.0	602.0	176.0	204.0	191.0	857.0	971.0
MAP7	1810.0	1380.0	1419.0	322.0	2699.0	618.0	1820.0	395.0	730.0	225.0	232.0	208.0	922.0	2662.0
CD164	8010.0	6987.0	6493.0	1659.0	8950.0	2714.0	7172.0	2111.0	3287.0	1516.0	1562.0	1185.0	5821.0	9227.0
LACE1	178.0	145.0	137.0	40.0	207.0	78.0	223.0	29.0	66.0	27.0	60.0	17.0	135.0	228.0
NHSL1	465.0	450.0	318.0	35.0	575.0	43.0	294.0	81.0	75.0	29.0	15.0	50.0	315.0	634.0
AHI1	1641.0	2113.0	1663.0	273.0	3129.0	811.0	3384.0	407.0	531.0	33.0	51.0	148.0	2023.0	4556.0
HEY2	403.0	502.0	399.0	154.0	540.0	277.0	467.0	138.0	254.0	137.0	60.0	82.0	281.0	521.0
PKIB	1342.0	1652.0	1683.0	395.0	2276.0	385.0	2454.0	599.0	245.0	391.0	287.0	514.0	1785.0	3318.0
NMBR	0.0	3.0	9.0	0.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0
SMPD2	526.0	740.0	560.0	109.0	762.0	182.0	1136.0	91.0	290.0	140.0	100.0	112.0	1068.0	980.0
MICAL1	152.0	208.0	166.0	39.0	181.0	36.0	427.0	34.0	45.0	46.0	11.0	28.0	188.0	193.0
REPS1	708.0	490.0	430.0	116.0	668.0	240.0	721.0	236.0	346.0	118.0	132.0	84.0	344.0	624.0
STX11	520.0	484.0	401.0	19.0	516.0	32.0	711.0	29.0	13.0	38.0	15.0	19.0	358.0	547.0
TEC	26.0	43.0	46.0	11.0	98.0	10.0	78.0	20.0	13.0	1.0	9.0	3.0	29.0	61.0
PRADC1	1093.0	681.0	455.0	247.0	443.0	421.0	1916.0	387.0	627.0	147.0	285.0	208.0	841.0	730.0
SEMA4F	118.0	66.0	87.0	35.0	88.0	89.0	107.0	50.0	58.0	10.0	6.0	23.0	29.0	139.0
CCT7	4701.0	2885.0	2490.0	1990.0	2922.0	2284.0	7305.0	1952.0	4276.0	1062.0	1449.0	953.0	3097.0	3654.0
EGR4	204.0	73.0	76.0	0.0	81.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	40.0	54.0
RAB11FIP5	185.0	183.0	86.0	121.0	204.0	91.0	259.0	102.0	166.0	48.0	44.0	35.0	84.0	225.0
SMYD5	212.0	147.0	143.0	53.0	178.0	92.0	246.0	33.0	84.0	45.0	19.0	26.0	125.0	165.0
DYSF	26.0	60.0	27.0	63.0	43.0	6.0	162.0	7.0	9.0	3.0	10.0	2.0	15.0	35.0
CCDC142	177.0	146.0	148.0	74.0	280.0	207.0	331.0	74.0	106.0	19.0	11.0	20.0	57.0	375.0
EMX1	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0
KCNMB4	24.0	17.0	19.0	6.0	15.0	7.0	38.0	9.0	12.0	6.0	4.0	3.0	6.0	16.0
USP15	2073.0	1738.0	1858.0	344.0	2595.0	606.0	2529.0	530.0	683.0	143.0	261.0	172.0	1779.0	2642.0
GNS	776.0	1141.0	669.0	226.0	1165.0	291.0	1781.0	356.0	318.0	156.0	157.0	114.0	669.0	1396.0
CPM	382.0	255.0	108.0	83.0	294.0	55.0	593.0	89.0	46.0	13.0	20.0	7.0	91.0	328.0
MDM2	2437.0	1759.0	1855.0	158.0	3925.0	475.0	1917.0	546.0	457.0	155.0	296.0	84.0	1434.0	3140.0
KLHL36	1035.0	790.0	566.0	224.0	954.0	419.0	1416.0	361.0	399.0	123.0	203.0	102.0	481.0	1158.0
BCO1	26.0	32.0	12.0	3.0	28.0	2.0	13.0	5.0	10.0	3.0	14.0	1.0	44.0	29.0
MPHOSPH6	1386.0	1100.0	961.0	565.0	2434.0	788.0	2134.0	604.0	1017.0	284.0	467.0	305.0	975.0	1425.0
CHST5	3.0	1.0	2.0	0.0	10.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
KIAA0513	361.0	388.0	240.0	80.0	496.0	127.0	352.0	105.0	98.0	41.0	81.0	29.0	278.0	535.0
DYNC1LI2	3920.0	3528.0	2605.0	744.0	5367.0	1453.0	6822.0	875.0	1609.0	308.0	404.0	322.0	2229.0	5997.0
FBXL8	185.0	210.0	127.0	82.0	197.0	176.0	326.0	48.0	143.0	44.0	20.0	49.0	104.0	278.0
FHOD1	234.0	231.0	117.0	35.0	237.0	66.0	398.0	21.0	114.0	5.0	18.0	17.0	116.0	313.0
